rowid;categoria;sku;marca;preco;img
743;confeitaria;782;Chocolate Raspar Harald Ao Leite 5kg;R$ 103;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54395661/db54f25319.jpg
744;confeitaria;1108;Açúcar Confeiteiro Harald 1 KG;R$ 11;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54350049/5a2a1051df.jpg
745;confeitaria;1578;Ganache Harald Chocolate Branco 4kg;R$ 132;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54313364/105d3c232c.jpg
746;confeitaria;1457;Ganache Harald Chocolate ao Leite 4kg;R$ 128;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54311576/d41b4e7134.jpg
747;confeitaria;2150;Recheio Forneável Harald ao Leite 1;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54306973/de322641b6.jpg
748;confeitaria;1288;Recheio Forneável Harald Branco 1;05Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54306731/fa1747c2e0.jpg
749;confeitaria;1594;Chocolate Granulado Crocante Mavalério 1;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54305455/b501f6d207.jpg
750;confeitaria;101;Calda Para Molhar Bolo Adimix 5L;R$ 59;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54299002/93e452b20b.jpg
751;confeitaria;1896;Creme de Confeiteiro Pronto Adimix 1kg;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54298878/1f7a229c73.jpg
752;confeitaria;483;Unta Forma Adimix 5L;R$ 85;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54298561/7fd8380b61.jpg
753;confeitaria;1821;Recheio Granfil Baunilha Adimix 4kg;R$ 75;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54298044/4685c335a2.jpg
754;confeitaria;1889;Recheio Granfil Brigadeiro Adimix 4kg;R$ 91;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54292199/5502a70fd2.jpg
755;confeitaria;211;Massa Brigadeiro Deleite 4;6kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54291492/77e9023450.jpg
756;confeitaria;694;Doce de Leite Deleite 4;6kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54290858/f6d1c0b8e3.jpg
757;confeitaria;439;Geléia de Brilho Maracujá Adimix 4kg;R$ 57;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54290002/e7a79d723b.jpg
758;confeitaria;407;Bolo Vilma Broa de Fubá 5kg;R$ 51;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54236651/4e7866efc8.jpg
759;confeitaria;410;Bolo Vilma Milho 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54236584/4c8546b343.jpg
760;confeitaria;263;Bolo Vilma Limão 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54236333/59c1bba5fe.jpg
761;confeitaria;411;Bolo Vilma Leite Condensado 5 kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54236250/e3d58ce643.jpg
762;confeitaria;401;Bolo Vilma Laranja 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54236098/bb73598a21.jpg
763;confeitaria;402;Bolo Vilma Coco 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54235983/e7672514c1.jpg
764;confeitaria;1945;Bolo Vilma Chocolate Suave 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54235911/aebbcabe4a.jpg
765;confeitaria;412;Bolo Vilma Chocolate 5Kg;R$ 70;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54235802/e835c3692b.jpg
766;confeitaria;397;Bolo Vilma Cenoura 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54235678/58365bdea7.jpg
767;confeitaria;286;Bolo Vilma Aipim 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54234954/660c57c610.jpg
768;confeitaria;405;Bolo Vilma Abacaxi 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54234891/e134881433.jpg
769;confeitaria;404;Bolo Vilma Básico (Neutro) 5kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54234640/86d7249b07.jpg
770;confeitaria;1725;Variegato Frutas do Bosque 2kg;R$ 96;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53861900/79f4ae681a.jpg
771;confeitaria;408;Margarina Coamo 80% Sem Sal 14;5 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765143/a50fe1a2d3.jpg
772;confeitaria;2114;Unta Forma Aerosol Adimix 600 Ml;R$ 39;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765140/ef11e048bf.jpg
773;confeitaria;1216;Mousse Morango 1kg;R$ 48;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765139/07dbd8897c.jpg
774;confeitaria;1180;Mousse Chocolate Branco 1kg;R$ 53;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765137/780f4d3d83.jpg
775;confeitaria;1137;Mousse Chocolate 1kg;R$ 57;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49765136/0e00294c09.jpg
776;confeitaria;2966;Dourador De Pães DAUS  - 1 LT;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/343194764/dourador-de-paes---daus---tp-1-lt-m9zmqx3ixb.jpg
777;confeitaria;2914;Leite Condensado Integral 5Kg Camponesa;R$ 72;https://cdn.awsli.com.br/300x300/1284/1284671/produto/330568498/1734378687825-leite-condensado-integral-5kg-camponesa-jpg-3zafw11rt8.jpg
778;confeitaria;2903;Leite Condensado Semidesnatado 5Kg Camponesa;R$ 63;https://cdn.awsli.com.br/300x300/1284/1284671/produto/330568485/1734378693335-leite-condensado-semidesnatado-5kg-camponesa-jpg-78twfllj1h.jpg
779;confeitaria;2901;Chantilly Gran American RICHS 1L;R$ 25;https://cdn.awsli.com.br/300x300/1284/1284671/produto/321109355/imagem-do-whatsapp-de-2024-11-25---s--15-17-37_0e1c2be6-01h35505xn.jpg
780;confeitaria;2415;Biscoito Granulado Gotas Chocolate 1kg;R$ 27;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769192/vabene-biscoito-cookies-chocolate-granulado-1kg-8ujvoxzhrx.jpg
781;confeitaria;357;Cacau em Pó Vermelho MARQUISE CARGILL 2 KG;R$ 161;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769174/cacau-em-p--vermelho-2kg-tbymxxwhqk.jpg
782;confeitaria;356;Cacau em Pó Vermelho MARQUISE CARGILL  25 KG;R$ 2.254;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319769156/cacau-p--vermelho-marquise-ozfyqttkt5.jpg
783;confeitaria;2830;Chocolate em Pó Nutrimax 50% 1;01KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/319545132/chocolate-em-po-nutrimax-50-101kg-1-aspect-ratio-800-800-ydg2m8dk3r.jpg
784;confeitaria;1711;Cobertura Gotas Genuine Ao Leite Cargill 2;05KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/237530926/choc--gotas--moeda--ao-leite-genuine-top--cargill--2-05kg-jud5j5w3nu.JPG
785;confeitaria;1385;Crocante de Castanha de Caju Vabene;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/229981327/crocante-vabene-castanha-de-caju-1kg-pote-cjozjetw0c.jpg
786;confeitaria;2456;Doce de Leite  e Chocolate Pastoso Itaperuna 9;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/227856882/doce-leite-choc--itaperuna---bd-9-8-kg-z88p83n3su.jpg
787;confeitaria;2455;Nesquik em pó Sabor Morango 380G;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902424/nesquik-em-po-nestle---lt-380g-k937hg5b01.JPG
788;confeitaria;2454;Nescau em pó Nestlé 1;02 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902421/nescau-em-po-nestle---pct-1-02-kg-43w9grjvx8.jpg
789;confeitaria;2450;Chocolate Recheio Macio Lollo Caixa com 30 und x 28g;R$ 84;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902416/lolo-j45qcisvmk.JPG
790;confeitaria;2447;Chocolate KITKAT Fingers ao Leite caixa com 24 und x 41;5g;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902411/kit-kat-caixa-k9rk3pfuin.JPG
791;confeitaria;2445;Chocolate Baton Ao Leite Garoto Caixa com 30 und x 16gr;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902407/baton-bfznafkc9s.JPG
792;confeitaria;2444;Chocolate Baton Branco Garoto Caixa com 30 und x 16g;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226902405/baton-branco-sv0yykj59o.JPG
793;confeitaria;2298;Cobertura e Recheio Leite Condensado Xamego Bom 2 KG;R$ 52;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226827866/cobertura-e-recheio-leite-condensado-dcirplu9da.jpg
794;confeitaria;2377;Chocolate Amandita 200g;R$ 15;https://cdn.awsli.com.br/300x300/1284/1284671/produto/220119316/amandita-hybynru0k0.JPG
795;confeitaria;2004;Leite em Pó Modificado Purelac Pró Panificação 1 KG;R$ 21;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999322/9327823f07.jpg
796;confeitaria;2003;Leite em Pó Modificado Purelac Pró Culinário 1 KG;R$ 26;https://cdn.awsli.com.br/300x300/1284/1284671/produto/171999319/6bb0f6712a.jpg
797;confeitaria;1946;Cobertura e recheio Chocolate Xamego Bom 2 KG;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/166798166/7ea174339e.jpg
798;confeitaria;1656;Unta Forma com Cera de Abelha Lisse 5 L;R$ 177;https://cdn.awsli.com.br/300x300/1284/1284671/produto/165182173/def2f53ab9.jpg
799;confeitaria;968;Colher Açaí Reforçada Lilás Caixa com 500 unidades;R$ 75;https://cdn.awsli.com.br/300x300/1284/1284671/produto/162520933/c5694ecdb5.jpg
800;confeitaria;1633;Gordura Sebella FRY 14;5 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/159023333/f24767a911.jpg
801;confeitaria;1460;Cobertura Gotas Top Blend Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549636/7392039208.jpg
802;confeitaria;1514;Cobertura Gotas Top Ao Leite Harald 2;05kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549620/63ef10630c.jpg
803;confeitaria;1458;Cobertura Gotas Top Branco Harald 2;05Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549615/5701099c60.jpg
804;confeitaria;1597;Cereja Marasquino Sicola 1;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/132284572/f26183981b.jpg
805;confeitaria;1354;Calda PP Easy Richs 1L;R$ 16;https://cdn.awsli.com.br/300x300/1284/1284671/produto/132276178/ffe241b68e.jpg
806;confeitaria;1069;Cookies Granulados Vabene 1KG;R$ 27;https://cdn.awsli.com.br/300x300/1284/1284671/produto/126350527/ad2a578c90.jpg
807;confeitaria;832;Fecho Plástico 1 KG;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/125195505/ce4ac6809e.jpg
808;confeitaria;1557;Ovomaltine Flocado Crocante 750 G;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/119565857/94a1449589.jpg
809;confeitaria;1192;Chocolat Pasta leitinho 3 KG;R$ 121;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117385230/b8c6349bcd.jpg
810;confeitaria;367;Chocolat Pasta leitinho Bisnaga 1;01 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117272442/30bd627741.jpg
811;confeitaria;366;Chocolat Pasta Chocolate Com Avelã Bisnaga 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/117272404/e80aeab91d.jpg
812;confeitaria;1191;Chocolat Pasta Chocolate Com Avelã 3 KG;R$ 139;https://cdn.awsli.com.br/300x300/1284/1284671/produto/116195730/78e25b1a85.jpg
813;confeitaria;1448;Mistura Creme Holandês Adimix 1 KG;R$ 52;https://cdn.awsli.com.br/300x300/1284/1284671/produto/116128678/50e81e57c5.jpg
814;confeitaria;1252;Mistura Caketone Adimix 2 KG;R$ 37;https://cdn.awsli.com.br/300x300/1284/1284671/produto/116128663/5303ed21d8.jpg
815;confeitaria;568;Farofa Crocante de Amendoim Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520188/f00706d97e.jpg
816;confeitaria;564;Farinha  de Amendoim Sem Sal Vabene 1;05 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520185/29ba9af4c9.jpg
817;confeitaria;563;Amendoim Granulado Sem Sal Vabene 1;05 Kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520181/5a6960c4cc.jpg
818;confeitaria;1341;Chocolate Bis Laka Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193544/0fa162e6a4.jpg
819;confeitaria;1336;Chocolate Bis Ao Leite Lacta 100;8G;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193534/0fd4496f33.jpg
820;confeitaria;1291;Bombom Lacta Sonho De Valsa 1KG;R$ 60;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115193421/a1f5263817.jpg
821;confeitaria;2119;Chocolat Biscotti e Crema Meio Amargo 12 KG;R$ 520;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115171579/475e78c3af.jpg
822;confeitaria;370;Polvilho Azedo Ouro Minas 25 KG;R$ 210;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114587430/bd264c5918.jpg
823;confeitaria;1292;Bombom Lacta Ouro Branco 1KG;R$ 60;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114263403/16235c0994.jpg
824;confeitaria;1724;Variegato Amarena 2 KG;R$ 105;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114249149/70d85dcc06.jpg
825;confeitaria;1275;Corante em Pó Mago Brilho Pink 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030456/4a0e2b19d2.jpg
826;confeitaria;1273;Corante em Pó Mago Brilho Azul Claro 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030447/d967a9fb20.jpg
827;confeitaria;1272;Corante em Pó Mago Prata Unicónio 10 G;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030430/365c6bcf33.jpg
828;confeitaria;1271;Corante em Pó Mago Brilho Ouro Brilhante 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030420/fdc28db60b.jpg
829;confeitaria;1270;Corante em Pó Mago Brilho Preto 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030412/f2460ddacf.jpg
830;confeitaria;872;Corante Softgel Mago Azul Jeans 60 G;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030399/15977f78ca.jpg
831;confeitaria;870;Corante Softgel Mago Verde Folha 60 G;R$ 7;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030381/e688fd8252.jpg
832;confeitaria;869;Corante Softgel Mago Laranja 60 G;R$ 7;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030377/dc50c46266.jpg
833;confeitaria;865;Corante Softgel Mago Verde 60 G;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030361/6f90f6441b.jpg
834;confeitaria;864;Corante Softgel Mago Vermelho 60 G;R$ 7;https://cdn.awsli.com.br/300x300/1284/1284671/produto/114030355/d95c8828a2.jpg
835;confeitaria;863;Corante Softgel Mago Amarelo 60 G;R$ 8;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897165/3e002712b7.jpg
836;confeitaria;776;Essência Manteiga Arcolor 960 ML;R$ 24;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897153/60ffcf4c25.jpg
837;confeitaria;773;Essência Laranja Arcolor 960 ML;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897134/925c271b63.jpg
838;confeitaria;771;Essência Limão Arcolor 960 ML;R$ 57;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897127/fe3d488f4b.jpg
839;confeitaria;768;Essência Baunilha Arcolor 960 ML;R$ 14;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897099/4b3638d5be.jpg
840;confeitaria;352;Essência Milho Verde Arcolor 960 ML;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897092/fbf4bbb051.jpg
841;confeitaria;770;Essência Abacaxi Arcolor 960 ML;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113897081/5729e9bb67.jpg
842;confeitaria;1380;Gergelim Pacote 4 KG;R$ 96;https://cdn.awsli.com.br/300x300/1284/1284671/produto/113888792/93fac6b103.jpg
843;confeitaria;1383;Goiabada Ralston Cremosa 4;6KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112846690/9d60814042.jpg
844;confeitaria;960;Polpa Pró Polpa Maracujá Com Semente 4;3 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460919/31c734b37e.jpg
845;confeitaria;1190;Polpa J.E.B. Frutas Vermelhas 4;1 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/112460899/259a852c77.jpg
846;confeitaria;1427;Mistura Cake Pão de Mel Adimix 2 KG;R$ 43;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111796224/de55c4dbfc.jpg
847;confeitaria;1226;Mistura Cake Milho Adimix 2 KG;R$ 36;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111796217/dea8d5d70f.jpg
848;confeitaria;438;Mistura Cake Chocolate Adimix 2 KG;R$ 53;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111796211/d2c4c244f3.jpg
849;confeitaria;1256;Mistura Cake Tapioca Adimix 2 KG;R$ 45;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111796200/f0b356478f.jpg
850;confeitaria;449;Mistura Cake Neutro Adimix 2 KG;R$ 33;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111796170/87353897be.jpg
851;confeitaria;2071;Mistura Broinha de Amendoim Adimix 2 KG;R$ 37;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793674/759e491636.jpg
852;confeitaria;1632;Mistura Cake Indiano Adimix 2 KG;R$ 40;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793648/75f677efb4.jpg
853;confeitaria;1208;Mistura Cake Cerouna Adimix 2 KG;R$ 47;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793639/6bd8d6043b.jpg
854;confeitaria;1194;Mistura Brownie Adimix 2 KG;R$ 44;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793625/88f8d1ff9c.jpg
855;confeitaria;1179;Mistura Cake Fubá Adimix 2 KG;R$ 34;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793601/afccdc86ae.jpg
856;confeitaria;111;Mistura Broinha de Milho Adimix 2 KG;R$ 40;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793597/3f46e776bf.jpg
857;confeitaria;2183;Mistura Broa Caxambú Adimix 2 KG;R$ 32;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111793595/f36ff9a86b.jpg
858;confeitaria;1047;Doce de Soro de Leite Itaperuna 9;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111671729/doce-de-soro-de-leite-itaperuna-13122021175613-men9wb0xhj.jpg
859;confeitaria;1045;Doce de Leite Xamego Bom com Chocolate  9;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111671648/39137aeef7.jpg
860;confeitaria;1276;Corante em Pó Mago Brilho Vermelho Brilhante 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111424240/b16aeb41c0.jpg
861;confeitaria;1274;Corante em Pó Mago Brilho Rose 10 G;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111424236/4c720f82cd.jpg
862;confeitaria;1404;Açúcar Gelado Mavalério 1 KG;R$ 36;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111422063/ab01473f27.jpg
863;confeitaria;1261;Pó Morango Mavalério 100 G;R$ 9;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331707/41c13081d4.jpg
864;confeitaria;1260;Pó Maracujá Mavalério 100 G;R$ 9;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331696/9b26701878.jpg
865;confeitaria;2164;Pó Limão Mavalério100 G;R$ 9;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331663/b4a069deb4.jpg
866;confeitaria;1431;Coloreti 1;01 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331652/5a6b340e0f.jpg
867;confeitaria;251;Coloreti Mini 1;01KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111331615/b16f73e267.jpg
868;confeitaria;1301;Coco Flocos Queimado Adelcoco 1 kg;R$ 50;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328743/70a5c75fc9.jpg
869;confeitaria;1053;Coco Ralado Ameripan Médio 10 KG;R$ 315;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328729/f55076d510.jpg
870;confeitaria;945;Coco Ralado Ameripan Fino 5 KG;R$ 120;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328718/cebff16d28.jpg
871;confeitaria;944;Coco em Flocos Úmido E Adoçado Adelcoco 5kg;R$ 210;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328700/99b1d98b4b.jpg
872;confeitaria;218;Coco Ralado Ameripan Fino 10 KG;R$ 234;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111328676/coco-ameripan-ijku6t3myr.jpg
873;confeitaria;1080;Creme Culinário Rich's 1kg;R$ 12;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111290820/54fbcbc4b8.jpg
874;confeitaria;1576;Mistura Cake Red Velvet Adimix 2 KG;R$ 41;https://cdn.awsli.com.br/300x300/1284/1284671/produto/106849482/17ed8ed6ac.jpg
875;confeitaria;874;Corante em Pó Mago Brilho Prata 8G;R$ 17;https://cdn.awsli.com.br/300x300/1284/1284671/produto/105610312/4765862b2d.jpg
876;confeitaria;873;Corante em Pó Mago Brilho Ouro 8G;R$ 19;https://cdn.awsli.com.br/300x300/1284/1284671/produto/105610303/4a8102962f.jpg
877;confeitaria;129;Castanha de Caju Xerem Fina 1 KG;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/105601186/fa69b62654.jpg
878;confeitaria;130;Castanha de Caju Xerem Média 1 KG;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102596892/f38125c970.jpg
879;confeitaria;558;Choco Power Ball Mini Branco/Leite Vabene 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188758/vabene-confeitos-mini-misto-500g-e61wi3oq7i.jpg
880;confeitaria;552;Choco Power Ball Micro Branco/Leite Vabene - 500 G;R$ 18;https://cdn.awsli.com.br/300x300/1284/1284671/produto/102188753/vabene-confeitos-micro-misto-500g-te5w7mx73v.jpg
881;confeitaria;2274;Cereja Marrasquino Curifrut 1;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/226509501/curifruti-jbjjdvbib4.jpg
882;confeitaria;1518;Chocolate Gotas Melken Branco Harald 2;05 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/138549633/72a4bc96c5.jpg
883;confeitaria;1165;Doce de Leite Itambé - Lata 5KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/99557954/110119foodservicedocedeleitetradicional5kglata_full-j3j765ad31.jpg
884;confeitaria;1046;Doce de Leite Xamego Bom 9;8 KG;https://cdn.awsli.com.br/300x300/1284/1284671/produto/111671692/a2017bbd92.jpg
885;confeitaria;2459;Ovomaltine Rocks 550 g;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/227856886/ovomaltine-rocks-7j66hniq5m.jpg
886;confeitaria;667;Chocolate Genuine Cargill Branco 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130639/58c2836d12.jpg
887;confeitaria;1162;Chocolate Sicao Gold Meio Amargo 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/94865191/58fa7f1a03.jpg
888;confeitaria;1160;Chocolate Sicao Gold Branco 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/94865173/8ab8e9aa11.jpg
889;confeitaria;1203;Pulverizador Para Corante Pó Und;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/94350145/63ee931d28.jpg
890;confeitaria;1142;Chocolate Sicao Gold Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91346016/1976191ab1.jpg
891;confeitaria;1141;Chocolate Sicao Gold ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91342665/e7d3b4e645.jpg
892;confeitaria;66;Chocolate Granulado Mácio MIX;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88871373/fc523cfc35.jpg
893;confeitaria;1981;Chocolat Amendocrema 2;02kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88509509/7baf25c66a.jpg
894;confeitaria;471;Açúcar Gelado Mix 1KG;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/62061387/b7d9008492.jpg
895;confeitaria;590;Chocolate Nestlé Branco Marfim 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60730793/choc--nestle-branco-marfim---2-1-kg-r344nwvvm7.JPG
896;confeitaria;633;Chocolate Nestlé Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60730675/choc--nestle-blend---2-1-kg-8kde8is0ss.JPG
897;confeitaria;1983;Variegato Banana Flambada 2kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60589377/b9ba7de2bc.jpg
898;confeitaria;2113;Leite Condensado Aurea Bag 5Kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/60388376/c49fc5c31a.jpg
899;confeitaria;731;Polpa Pró Polpa Amora 4;3kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57314774/890ebe54b9.jpg
900;confeitaria;657;Chocolate Genuine Cargill Meio Amargo 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130712/17d484c08d.jpg
901;confeitaria;666;Chocolate Genuine Cargill Blend 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130599/7f68618139.jpg
902;confeitaria;664;Chocolate Genuine Cargill Ao Leite 2;1kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/57130490/1d93239057.jpg
903;confeitaria;120;Gordura Vegetal Hidrogenada Mesa CX 12x500Gr;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56718574/100ca0566a.jpg
904;confeitaria;520;Ganache Adimix Chocolate Meio Amargo 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56694695/b9e551490b.jpg
905;confeitaria;521;Ganache Adimix Chocolate Branco 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56694595/83f5852309.jpg
906;confeitaria;522;Ganache Adimix Chocolate ao Leite 4kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56694526/8cfacda937.jpg
907;confeitaria;2131;Granulado Macio Salware 1;01 kg;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56690409/6f924b20f1.jpg
908;confeitaria;902;Creme Culinário Ourolac 1kg;N/A;https://cdn.awsli.com.br/300x300/1284/1284671/produto/56399757/58bf8c3cdb.jpg
